Rank,Release Group,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
47,Happy Feet Two,159196259.0,"6,40,06,466",40.20%,"9,51,89,793",59.80%,2011
48,Final Destination 5,157887643.0,"4,25,87,643",27%,"11,53,00,000",73%,2011
49,Tower Heist,152930623.0,"7,80,46,570",51%,"7,48,84,053",49%,2011
50,Midnight in Paris,151672318.0,"5,68,17,045",37.50%,"9,48,55,273",62.50%,2011
51,I Am Number Four,149878437.0,"5,51,00,437",36.80%,"9,47,78,000",63.20%,2011
52,Jack and Jill,149673788.0,"7,41,58,157",49.50%,"7,55,15,631",50.50%,2011
53,Friends with Benefits,149542245.0,"5,58,02,754",37.30%,"9,37,39,491",62.70%,2011
54,No Strings Attached,149228077.0,"7,06,62,220",47.40%,"7,85,65,857",52.60%,2011
55,Arthur Christmas,147419472.0,"4,64,62,469",31.50%,"10,09,57,003",68.50%,2011
56,Source Code,147332697.0,"5,47,12,227",37.10%,"9,26,20,470",62.90%,2011
57,"Crazy, Stupid, Love.",145051197.0,"8,43,51,197",58.20%,"6,07,00,000",41.80%,2011
58,New Year's Eve,142044638.0,"5,45,44,638",38.40%,"8,75,00,000",61.60%,2011
59,Contagion,136515867.0,"7,56,58,097",55.40%,"6,08,57,770",44.60%,2011
60,Unknown,135710029.0,"6,36,86,397",46.90%,"7,20,23,632",53.10%,2011
61,The Artist,133432856.0,"4,46,71,682",33.50%,"8,87,61,174",66.50%,2011
62,The Three Musketeers,132274484.0,"2,03,74,484",15.40%,"11,19,00,000",84.60%,2011
63,We Bought a Zoo,120081841.0,"7,56,24,550",63%,"4,44,57,291",37%,2011
64,Hankyu Railways 0 A 150minute Miracle,118799256.0,0,0,"11,87,99,256",100%,2011
65,Water for Elephants,117094902.0,"5,87,09,717",50.10%,"5,83,85,185",49.90%,2011
66,The Iron Lady,115890699.0,"3,00,17,992",25.90%,"8,58,72,707",74.10%,2011
67,Moneyball,110206216.0,"7,56,05,492",68.60%,"3,46,00,724",31.40%,2011
68,Insidious,99557032.0,"5,40,09,150",54.20%,"4,55,47,882",45.80%,2011
69,Justin Bieber: Never Say Never,99036827.0,"7,30,13,910",73.70%,"2,60,22,917",26.30%,2011
70,Paul,97984015.0,"3,74,12,945",38.20%,"6,05,71,070",61.80%,2011
71,Scream 4,97138686.0,"3,81,80,928",39.30%,"5,89,57,758",60.70%,2011
72,The Rite,96560591.0,"3,30,47,633",34.20%,"6,35,12,958",65.80%,2011
73,Dolphin Tale,95932565.0,"7,22,86,779",75.40%,"2,36,45,786",24.60%,2011
74,Nothing to Declare,93811164.0,0,0,"9,38,11,164",100%,2011
75,Season of the Witch,91627228.0,"2,48,27,228",27.10%,"6,68,00,000",72.90%,2011
76,Red Riding Hood,90260376.0,"3,76,62,162",41.70%,"5,25,98,214",58.30%,2011
77,Sucker Punch,89792502.0,"3,63,92,502",40.50%,"5,34,00,000",59.50%,2011
78,The Inbetweeners,88823111.0,"36,000",0,"8,87,87,111",100%,2011
79,The Lincoln Lawyer,86752352.0,"5,80,09,200",66.90%,"2,87,43,152",33.10%,2011
80,Hall Pass,86157237.0,"4,50,60,734",52.30%,"4,10,96,503",47.70%,2011
81,Spy Kids 4: All the Time in the World,85564310.0,"3,85,38,188",45%,"4,70,26,122",55%,2011
82,J. Edgar,84920539.0,"3,73,06,030",43.90%,"4,76,14,509",56.10%,2011
83,"Big Mommas: Like Father, Like Son",82686066.0,"3,79,15,414",45.90%,"4,47,70,652",54.10%,2011
84,Abduction,82087155.0,"2,80,87,155",34.20%,"5,40,00,000",65.80%,2011
85,Tinker Tailor Soldier Spy,81244605.0,"2,41,49,393",29.70%,"5,70,95,212",70.30%,2011
86,Priest,78309505.0,"2,91,37,000",37.20%,"4,91,72,505",62.80%,2011
87,The Ides of March,76338111.0,"4,09,62,534",53.70%,"3,53,75,577",46.30%,2011
88,Drive,76280348.0,"3,50,61,555",46%,"4,12,18,793",54%,2011
89,The Mechanic,76130093.0,"2,91,21,498",38.30%,"4,70,08,595",61.70%,2011
90,The Change0Up,75450437.0,"3,70,81,475",49.10%,"3,83,68,962",50.90%,2011
91,Larry Crowne,75055070.0,"3,56,08,245",47.40%,"3,94,46,825",52.60%,2011
92,Diary of a Wimpy Kid: Rodrick Rules,72526996.0,"5,26,98,535",72.70%,"1,98,28,461",27.30%,2011
93,The Dilemma,69721966.0,"4,84,75,290",69.50%,"2,12,46,676",30.50%,2011
94,Something Borrowed,65100369.0,"3,90,46,489",60%,"2,60,53,880",40%,2011
95,The Darkest Hour,64626786.0,"2,14,43,494",33.20%,"4,31,83,292",66.80%,2011
96,Hanna,63782078.0,"4,02,59,119",63.10%,"2,35,22,959",36.90%,2011
97,Footloose 2011 Re0release,63543328.0,"5,18,02,742",81.50%,"1,17,40,586",18.50%,2011
98,Conan the Barbarian,63523283.0,"2,12,95,021",33.50%,"4,22,28,262",66.50%,2011
99,Colombiana,63458440.0,"3,66,65,854",57.80%,"2,67,92,586",42.20%,2011
100,From Up on Poppy Hill,61459425.0,"10,02,895",1.60%,"6,04,56,530",98.40%,2011
